Country ,Broad money (% of GDP) 2012,Broad money (% of GDP) 2013,Broad money (% of GDP) 2014,Broad money (% of GDP) 2015,Broad money (% of GDP) 2016,Broad money (% of GDP) 2017,Broad money (% of GDP) 2018,Broad money (% of GDP) 2019,Broad money (% of GDP) 2020,Broad money (% of GDP) 2021,Broad money (% of GDP) 2022,Broad money (% of GDP) 2023
Gabon,22.286972,24.93155845,23.47019037,24.89688446,24.45471047,19.36241637,23.86971562,22.92759105,,,,
United Kingdom,147.7681782,145.1453501,135.302828,134.0908273,140.2754507,145.286778,148.0237457,140.670149,163.8936984,165.5296666,162.6263642,147.0687996
Georgia,28.33185995,33.7587295,35.27468604,37.97724326,43.46185539,44.03576923,45.70595495,49.02892853,61.01667035,55.73782195,51.58098682,53.40106484
Ghana,30.36174184,21.95275634,23.64255056,25.67027321,26.28077583,25.488335,25.12738033,26.39174743,30.81731563,31.73461693,31.48801694,31.58270436
Gibraltar,,,,,,,,,,,,
Guinea,20.85625454,21.81210761,23.39982847,24.8647559,23.96641594,23.01861015,22.20251027,23.71236504,26.67636757,24.51694396,,
"Gambia, The",34.36471408,36.14174308,37.97904828,,,38.28397214,39.47209551,44.42000359,52.93936611,57.02079376,53.5153549,48.26706476
Guinea-Bissau,28.76068148,29.52023577,42.94316253,44.93874516,45.3705593,40.32419269,42.28622855,39.31613321,42.12870752,46.95039235,44.57818892,39.76708731
Equatorial Guinea,12.67659862,14.19673464,12.05004033,15.4449664,14.27635018,12.73194333,12.30293144,12.46551146,13.83732566,11.55876673,11.18714374,13.87673159
Greece,,,,,,,,,,,,
Grenada,91.42506514,90.05710558,88.38508442,86.72170793,85.09225762,82.73183411,87.2179276,82.14032615,94.37633138,95.15433333,95.87119756,90.37509796
Greenland,,,,,,,,,,,,
Guatemala,46.80181881,47.83640184,48.03379794,49.24120666,49.65775471,50.80434176,53.19549818,53.70073195,62.75243378,60.82137353,58.75028161,56.4386901
Guam,,,,,,,,,,,,
Guyana,46.99701535,48.16763695,50.13240453,50.11296331,50.44276152,47.29309038,49.41802804,52.10923321,56.42204716,43.67539834,27.55998977,28.86022775
High income,116.3010589,113.8614163,113.973958,114.6216962,118.5787739,116.9450669,117.3475367,120.0200158,138.4427679,,,
"Hong Kong SAR, China",336.2526038,353.9153371,363.365684,365.5876232,375.0387602,396.1517895,386.0987657,403.3140687,454.7032193,437.7982139,461.6073606,451.7222867
Honduras,51.15044103,53.15024777,54.67463738,53.10554987,58.09974982,59.61748311,61.08993597,63.65900921,80.18572111,74.40611264,73.59481558,74.55360421
Heavily indebted poor countries (HIPC),27.85505929,27.30232825,28.46217145,29.74945313,30.04788074,30.54504491,30.82952692,33.48242343,37.59394927,38.50605391,,
Croatia,,,,,,,,,,,,
Haiti,26.41883786,25.20390449,25.81918207,29.95476138,30.28996109,28.17659621,30.99753004,29.94323042,27.19354404,31.54002916,32.40512392,22.68767045
Hungary,58.56291305,60.3170279,57.19972533,56.71441984,58.73423861,58.36254595,59.07367602,58.14251473,69.28538888,72.04805049,65.40884466,59.60500418
IBRD only,100.5104748,106.4020506,113.0404394,125.8829152,129.817933,126.788295,126.6410592,128.9642027,145.4414392,145.3114718,155.5862093,160.7203931
IDA & IBRD total,96.22814551,101.3473178,107.3438016,119.2788325,123.1792139,120.551452,120.4842599,122.8494006,138.6957952,139.0137472,147.6930419,154.3912718
IDA total,33.77758191,33.39031312,33.53661516,35.87124431,38.41817583,38.55614815,39.11675172,39.79036895,43.26005928,42.36776998,41.17383453,
IDA blend,32.48319288,31.74278808,30.3691132,31.89645517,35.98332079,34.84705237,35.14075104,33.85150226,36.35795277,35.6603471,33.9065576,
Indonesia,38.38928827,39.07547414,39.48385024,39.46442005,40.35709044,39.87663393,38.81758144,38.76024384,44.71787447,46.36018204,43.53677337,42.2476157
IDA only,35.12129393,35.18051671,37.19796085,40.29221924,40.77658118,41.95870607,42.7049688,45.06222491,49.20313805,48.70738757,48.28695405,
Isle of Man,,,,,,,,,,,,
India,76.91318852,78.18217173,77.89935376,78.01191058,74.54926535,74.14418936,74.0978246,76.98188097,87.67667268,82.10203483,,
Not classified,,,,,,,,,,,,
Ireland,,,,,,,,,,,,
"Iran, Islamic Rep.",55.56631192,51.99600325,60.96142032,76.76127207,82.51016788,,,,,,,
Iraq,30.36182434,32.71789335,34.9145605,43.41835339,45.93970492,41.89057783,35.47193382,37.45724582,55.59928441,46.00705478,40.49081671,54.83339095
Iceland,79.8839676,78.29810398,78.21543697,74.55236664,65.40206598,65.31683496,64.91780021,65.03561092,72.1364576,71.43170525,65.52765801,63.93214621
Israel,76.26081848,78.07381851,83.4913664,83.10379816,83.8934547,84.60996756,84.16769338,85.5660855,104.9951328,108.6564846,103.2803547,101.1862222
Italy,,,,,,,,,,,,
Jamaica,43.65929576,45.19743963,44.81108526,47.20852003,50.46876464,52.17596546,53.59700514,56.46375703,71.77673722,72.48213666,66.27350345,64.94666136
